from,to
PARKWY,PARKWAY
parkwy,PARKWAY
Parkwy,PARKWAY
PARADE,PARADE
parade,PARADE
Parade,PARADE
PDE,PARADE
pde,PARADE
Pde,PARADE
RBT,ROUNDABOUT
rbt,ROUNDABOUT
Rbt,ROUNDABOUT
RBT.,ROUNDABOUT
rbt.,ROUNDABOUT
Rbt.,ROUNDABOUT
ROW,ROW
row,ROW
Row,ROW
SQ,SQUARE
sq,SQUARE
Sq,SQUARE
SQ.,SQUARE
sq.,SQUARE
Sq.,SQUARE
SQRE,SQUARE
sqre,SQUARE
Sqre,SQUARE
TER,TERRACE
ter,TERRACE
Ter,TERRACE
TERR,TERRACE
terr,TERRACE
Terr,TERRACE
TCE,TERRACE
tce,TERRACE
Tce,TERRACE
TERR.,TERRACE
terr.,TERRACE
Terr.,TERRACE
VIA,VIA
via,VIA
Via,VIA
FL,FLAT
fl,FLAT
Fl,FLAT
FLT,FLAT
flt,FLAT
Flt,FLAT
FLAT,FLAT
flat,FLAT
Flat,FLAT
BSMT,BASEMENT
bsmt,BASEMENT
Bsmt,BASEMENT
BSMNT,BASEMENT
bsmnt,BASEMENT
Bsmnt,BASEMENT
GRD FL,GROUND FLOOR
grd fl,GROUND FLOOR
Grd Fl,GROUND FLOOR
GND FL,GROUND FLOOR
gnd fl,GROUND FLOOR
Gnd Fl,GROUND FLOOR
GF,GROUND FLOOR
gf,GROUND FLOOR
Gf,GROUND FLOOR
LWR GRD,LOWER GROUND
lwr grd,LOWER GROUND
Lwr Grd,LOWER GROUND
UG,UPPER GROUND
ug,UPPER GROUND
Ug,UPPER GROUND
RM,ROOM
rm,ROOM
Rm,ROOM
STE,SUITE
ste,SUITE
Ste,SUITE
STUDIO,STUDIO
studio,STUDIO
Studio,STUDIO
UNIT,UNIT
unit,UNIT
Unit,UNIT
UNT,UNIT
unt,UNIT
Unt,UNIT
BLDG,BUILDING
bldg,BUILDING
Bldg,BUILDING
BLD,BUILDING
bld,BUILDING
Bld,BUILDING
BLDG.,BUILDING
bldg.,BUILDING
Bldg.,BUILDING
HSE.,HOUSE
hse.,HOUSE
Hse.,HOUSE
H/S,HOUSE
h/s,HOUSE
HS,HOUSE
hs,HOUSE
Hs,HOUSE
BTM,BOTTOM
btm,BOTTOM
Btm,BOTTOM
BDGE,BRIDGE
bdge,BRIDGE
Bdge,BRIDGE
BR,BRIDGE
br,BRIDGE
Br,BRIDGE
BRDG,BRIDGE
brdg,BRIDGE
Brdg,BRIDGE
CMB,COMBE
cmb,COMBE
Cmb,COMBE
CMBE,COMBE
cmbe,COMBE
Cmbe,COMBE
CMN,COMMON
cmn,COMMON
Cmn,COMMON
CP,CAR PARK
cp,CAR PARK
Cp,CAR PARK
C/P,CAR PARK
c/p,CAR PARK
IND EST,INDUSTRIAL ESTATE
ind est,INDUSTRIAL ESTATE
Ind Est,INDUSTRIAL ESTATE
IND. EST.,INDUSTRIAL ESTATE
ind. est.,INDUSTRIAL ESTATE
Ind. Est.,INDUSTRIAL ESTATE
BUS PK,BUSINESS PARK
bus pk,BUSINESS PARK
Bus Pk,BUSINESS PARK
BUS. PK.,BUSINESS PARK
bus. pk.,BUSINESS PARK
Bus. Pk.,BUSINESS PARK
R/A,ROUNDABOUT
r/a,ROUNDABOUT
JN,JUNCTION
jn,JUNCTION
Jn,JUNCTION
JCT,JUNCTION
jct,JUNCTION
Jct,JUNCTION
JCT.,JUNCTION
jct.,JUNCTION
Jct.,JUNCTION
MT,MOUNT
mt,MOUNT
Mt,MOUNT
MT.,MOUNT
mt.,MOUNT
Mt.,MOUNT
NTH,NORTH
nth,NORTH
Nth,NORTH
S,SOUTH
s,SOUTH
S.,SOUTH
s.,SOUTH
E,EAST
e,EAST
E.,EAST
e.,EAST
W,WEST
w,WEST
W.,WEST
w.,WEST
NE,NORTH EAST
ne,NORTH EAST
Ne,NORTH EAST
NW,NORTH WEST
nw,NORTH WEST
Nw,NORTH WEST
SE,SOUTH EAST
se,SOUTH EAST
Se,SOUTH EAST
SW,SOUTH WEST
sw,SOUTH WEST
Sw,SOUTH WEST
KINGS LYNN,KING'S LYNN
kings lynn,KING'S LYNN
Kings Lynn,KING'S LYNN
STOKE ON TRENT,STOKE-ON-TRENT
stoke on trent,STOKE-ON-TRENT
Stoke On Trent,STOKE-ON-TRENT
SOUTHEND ON SEA,SOUTHEND-ON-SEA
southend on sea,SOUTHEND-ON-SEA
Southend On Sea,SOUTHEND-ON-SEA
WESTCLIFF ON SEA,WESTCLIFF-ON-SEA
westcliff on sea,WESTCLIFF-ON-SEA
Westcliff On Sea,WESTCLIFF-ON-SEA
NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE
newcastle upon tyne,NEWCASTLE UPON TYNE
Newcastle Upon Tyne,NEWCASTLE UPON TYNE
NEWCASTLE-ON-TYNE,NEWCASTLE UPON TYNE
newcastle-on-tyne,NEWCASTLE UPON TYNE
Newcastle-On-Tyne,NEWCASTLE UPON TYNE
BISHOP AUCKLAND,BISHOP AUCKLAND
bishop auckland,BISHOP AUCKLAND
Bishop Auckland,BISHOP AUCKLAND
ROYAL LEAMINGTON SPA,ROYAL LEAMINGTON SPA
royal leamington spa,ROYAL LEAMINGTON SPA
Royal Leamington Spa,ROYAL LEAMINGTON SPA
NORTHUMB,NORTHUMBERLAND
northumb,NORTHUMBERLAND
Northumb,NORTHUMBERLAND
NORTHUMBERLD,NORTHUMBERLAND
northumberld,NORTHUMBERLAND
Northumberld,NORTHUMBERLAND
DUR,DURHAM
dur,DURHAM
Dur,DURHAM
CO DURHAM,COUNTY DURHAM
co durham,COUNTY DURHAM
Co Durham,COUNTY DURHAM
W MIDLANDS,WEST MIDLANDS
w midlands,WEST MIDLANDS
W Midlands,WEST MIDLANDS
W. MIDLANDS,WEST MIDLANDS
w. midlands,WEST MIDLANDS
W. Midlands,WEST MIDLANDS
WMIDS,WEST MIDLANDS
wmids,WEST MIDLANDS
Wmids,WEST MIDLANDS
E MIDLANDS,EAST MIDLANDS
e midlands,EAST MIDLANDS
E Midlands,EAST MIDLANDS
E. MIDLANDS,EAST MIDLANDS
e. midlands,EAST MIDLANDS
E. Midlands,EAST MIDLANDS
N YORKS,NORTH YORKSHIRE
n yorks,NORTH YORKSHIRE
N Yorks,NORTH YORKSHIRE
N. YORKS,NORTH YORKSHIRE
n. yorks,NORTH YORKSHIRE
N. Yorks,NORTH YORKSHIRE
NTH YORKS,NORTH YORKSHIRE
nth yorks,NORTH YORKSHIRE
Nth Yorks,NORTH YORKSHIRE
S YORKS,SOUTH YORKSHIRE
s yorks,SOUTH YORKSHIRE
S Yorks,SOUTH YORKSHIRE
W YORKS,WEST YORKSHIRE
w yorks,WEST YORKSHIRE
W Yorks,WEST YORKSHIRE
E YORKS,EAST YORKSHIRE
e yorks,EAST YORKSHIRE
E Yorks,EAST YORKSHIRE
E RIDING,EAST RIDING OF YORKSHIRE
e riding,EAST RIDING OF YORKSHIRE
E Riding,EAST RIDING OF YORKSHIRE
N Lincs,NORTH LINCOLNSHIRE
n lincs,NORTH LINCOLNSHIRE
N LINCS,NORTH LINCOLNSHIRE
S LINCS,SOUTH LINCOLNSHIRE
s lincs,SOUTH LINCOLNSHIRE
S Lincs,SOUTH LINCOLNSHIRE
W SUSSEX,WEST SUSSEX
w sussex,WEST SUSSEX
W Sussex,WEST SUSSEX
E SUSSEX,EAST SUSSEX
e sussex,EAST SUSSEX
E Sussex,EAST SUSSEX
N LANCS,NORTH LANCASHIRE
n lancs,NORTH LANCASHIRE
N Lancs,NORTH LANCASHIRE
S LANCS,SOUTH LANCASHIRE
s lancs,SOUTH LANCASHIRE
S Lancs,SOUTH LANCASHIRE
ISLE OF WIGHT,ISLE OF WIGHT
isle of wight,ISLE OF WIGHT
Isle Of Wight,ISLE OF WIGHT
IOW,ISLE OF WIGHT
iow,ISLE OF WIGHT
Iow,ISLE OF WIGHT
I OF W,ISLE OF WIGHT
i of w,ISLE OF WIGHT
I Of W,ISLE OF WIGHT
HIGHLANDS,HIGHLAND
highlands,HIGHLAND
Highlands,HIGHLAND
HIGHLAND,HIGHLAND
highland,HIGHLAND
Highland,HIGHLAND
WESTERN ISLES,OUTER HEBRIDES
western isles,OUTER HEBRIDES
Western Isles,OUTER HEBRIDES
W ISLES,OUTER HEBRIDES
w isles,OUTER HEBRIDES
W Isles,OUTER HEBRIDES
ARGYLL & BUTE,ARGYLL AND BUTE
argyll & bute,ARGYLL AND BUTE
Argyll & Bute,ARGYLL AND BUTE
ARGYLL AND BUTE,ARGYLL AND BUTE
argyll and bute,ARGYLL AND BUTE
Argyll And Bute,ARGYLL AND BUTE
CITY OF EDIN,CITY OF EDINBURGH
city of edin,CITY OF EDINBURGH
City Of Edin,CITY OF EDINBURGH
CITY OF EDINBURGH,CITY OF EDINBURGH
city of edinburgh,CITY OF EDINBURGH
City Of Edinburgh,CITY OF EDINBURGH
P O BOX,PO BOX
p o box,PO BOX
P O Box,PO BOX
P.O. BOX,PO BOX
p.o. box,PO BOX
P.O. Box,PO BOX
P.O BOX,PO BOX
p.o box,PO BOX
P.O Box,PO BOX
PO. BOX,PO BOX
po. box,PO BOX
Po. Box,PO BOX
POBX,PO BOX
pobx,PO BOX
Pobx,PO BOX
C/O,CARE OF
c/o,CARE OF
FAO,FOR THE ATTENTION OF
fao,FOR THE ATTENTION OF
Fao,FOR THE ATTENTION OF
ATTN,FOR THE ATTENTION OF
attn,FOR THE ATTENTION OF
Attn,FOR THE ATTENTION OF
ATTN.,FOR THE ATTENTION OF
attn.,FOR THE ATTENTION OF
Attn.,FOR THE ATTENTION OF
